timestamp,raw_data_hex,parsed_value,data_type
2025-07-21T10:52:13.162694,54696d655374616d703a206c640d0a50524553533a20313031322e39330d0a4143435f583a203131322c204143435f593a202d3338352c204143435f5a3a202d3932360d0a4759525f583a202d323934302c204759525f593a202d353339302c204759525f5a3a202d343535300d0a4d41475f583a203232332c204d41475f593a202d3139332c204d41475f5a3a202d3931350d0a515641523a20302e31350d0a,"TimeStamp: ld
PRESS: 1012.93
ACC_X: 112, ACC_Y: -385, ACC_Z: -926
GYR_X: -2940, GYR_Y: -5390, GYR_Z: -4550
MAG_X: 223, MAG_Y: -193, MAG_Z: -915
QVAR: 0.15",ascii
2025-07-21T10:52:13.162694,54696d655374616d703a206c640d0a50524553533a20313031322e39330d0a4143435f583a203131322c204143435f593a202d3338352c204143435f5a3a202d3932360d0a4759525f583a202d323934302c204759525f593a202d353339302c204759525f5a3a202d343535300d0a4d41475f583a203232332c204d41475f593a202d3139332c204d41475f5a3a202d3931350d0a515641523a20302e31350d0a,1701669204,int32
2025-07-21T10:52:13.162694,54696d655374616d703a206c640d0a50524553533a20313031322e39330d0a4143435f583a203131322c204143435f593a202d3338352c204143435f5a3a202d3932360d0a4759525f583a202d323934302c204759525f593a202d353339302c204759525f5a3a202d343535300d0a4d41475f583a203232332c204d41475f593a202d3139332c204d41475f5a3a202d3931350d0a515641523a20302e31350d0a,26964,int16
2025-07-21T10:52:13.666021,54696d655374616d703a206c640d0a54454d503a202b32362e37370d0a4143435f583a203133362c204143435f593a202d3430322c204143435f5a3a202d3934330d0a4759525f583a2031383133302c204759525f593a2031323436302c204759525f5a3a20343535300d0a4d41475f583a203232322c204d41475f593a202d3139322c204d41475f5a3a202d3931380d0a515641523a20302e31390d0a,"TimeStamp: ld
TEMP: +26.77
ACC_X: 136, ACC_Y: -402, ACC_Z: -943
GYR_X: 18130, GYR_Y: 12460, GYR_Z: 4550
MAG_X: 222, MAG_Y: -192, MAG_Z: -918
QVAR: 0.19",ascii
2025-07-21T10:52:13.666021,54696d655374616d703a206c640d0a54454d503a202b32362e37370d0a4143435f583a203133362c204143435f593a202d3430322c204143435f5a3a202d3934330d0a4759525f583a2031383133302c204759525f593a2031323436302c204759525f5a3a20343535300d0a4d41475f583a203232322c204d41475f593a202d3139322c204d41475f5a3a202d3931380d0a515641523a20302e31390d0a,1701669204,int32
2025-07-21T10:52:13.666021,54696d655374616d703a206c640d0a54454d503a202b32362e37370d0a4143435f583a203133362c204143435f593a202d3430322c204143435f5a3a202d3934330d0a4759525f583a2031383133302c204759525f593a2031323436302c204759525f5a3a20343535300d0a4d41475f583a203232322c204d41475f593a202d3139322c204d41475f5a3a202d3931380d0a515641523a20302e31390d0a,26964,int16
2025-07-21T10:52:14.168558,54696d655374616d703a206c640d0a50524553533a20313031322e39310d0a4143435f583a203130362c204143435f593a202d3339382c204143435f5a3a202d3931370d0a4759525f583a203730302c204759525f593a202d313437302c204759525f5a3a202d3633300d0a4d41475f583a203231392c204d41475f593a202d3230382c204d41475f5a3a202d3931350d0a515641523a20302e31390d0a,"TimeStamp: ld
PRESS: 1012.91
ACC_X: 106, ACC_Y: -398, ACC_Z: -917
GYR_X: 700, GYR_Y: -1470, GYR_Z: -630
MAG_X: 219, MAG_Y: -208, MAG_Z: -915
QVAR: 0.19",ascii
2025-07-21T10:52:14.168558,54696d655374616d703a206c640d0a50524553533a20313031322e39310d0a4143435f583a203130362c204143435f593a202d3339382c204143435f5a3a202d3931370d0a4759525f583a203730302c204759525f593a202d313437302c204759525f5a3a202d3633300d0a4d41475f583a203231392c204d41475f593a202d3230382c204d41475f5a3a202d3931350d0a515641523a20302e31390d0a,1701669204,int32
2025-07-21T10:52:14.168558,54696d655374616d703a206c640d0a50524553533a20313031322e39310d0a4143435f583a203130362c204143435f593a202d3339382c204143435f5a3a202d3931370d0a4759525f583a203730302c204759525f593a202d313437302c204759525f5a3a202d3633300d0a4d41475f583a203231392c204d41475f593a202d3230382c204d41475f5a3a202d3931350d0a515641523a20302e31390d0a,26964,int16
2025-07-21T10:52:14.664903,54696d655374616d703a206c640d0a54454d503a202b32362e37380d0a4143435f583a203130312c204143435f593a202d3432342c204143435f5a3a202d3930340d0a4759525f583a202d343535302c204759525f593a202d3737302c204759525f5a3a202d313139300d0a4d41475f583a203232302c204d41475f593a202d3230372c204d41475f5a3a202d3931390d0a515641523a20302e32360d0a,"TimeStamp: ld
TEMP: +26.78
ACC_X: 101, ACC_Y: -424, ACC_Z: -904
GYR_X: -4550, GYR_Y: -770, GYR_Z: -1190
MAG_X: 220, MAG_Y: -207, MAG_Z: -919
QVAR: 0.26",ascii
